id,Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,class_name
1,M,small,small,small,light,light,light,light,old_age
2,M,small,small,small,light,light,light,light,young
3,F,medium,medium,medium,medium,medium,medium,medium,medium_age
4,M,small,small,medium,light,light,light,light,medium_age
5,I,small,small,small,light,light,light,light,young
6,I,small,small,small,light,light,light,light,young
7,F,medium,medium,medium,medium,medium,medium,heavy,old_age
8,F,medium,medium,medium,medium,medium,medium,medium,old_age
9,M,small,small,medium,light,light,light,medium,medium_age
10,F,medium,medium,medium,medium,medium,medium,heavy,old_age
11,F,medium,medium,medium,medium,light,medium,medium,old_age
12,M,small,small,small,light,light,light,light,medium_age
13,M,medium,medium,medium,light,light,light,medium,old_age
14,F,medium,medium,medium,medium,medium,medium,medium,medium_age
15,F,small,small,small,light,light,light,medium,medium_age
16,M,medium,medium,medium,medium,medium,medium,medium,old_age
17,I,small,small,small,light,light,light,light,young
18,F,small,small,small,light,light,light,light,medium_age
19,M,small,small,small,light,light,light,light,young
20,M,small,small,small,light,light,light,light,medium_age
21,M,small,small,small,light,light,light,light,old_age
22,I,small,small,small,light,light,light,light,medium_age
23,F,medium,medium,medium,medium,medium,medium,medium,old_age
24,F,medium,medium,medium,medium,medium,medium,medium,medium_age
25,F,large,large,high,heavy,heavy,heavy,heavy,medium_age
26,F,medium,medium,medium,medium,medium,medium,heavy,old_age
27,F,medium,medium,high,medium,medium,heavy,medium,old_age
28,M,medium,medium,medium,medium,medium,heavy,medium,old_age
29,M,large,large,high,medium,medium,medium,heavy,old_age
30,M,medium,medium,medium,medium,medium,heavy,medium,old_age
31,M,medium,large,high,medium,medium,heavy,heavy,medium_age
32,F,large,large,high,heavy,heavy,heavy,heavy,old_age
33,M,large,large,high,heavy,heavy,heavy,heavy,old_age
34,F,large,large,high,heavy,heavy,heavy,heavy,old_age
35,F,large,large,high,heavy,heavy,heavy,heavy,old_age
36,M,small,small,small,light,light,medium,light,young
37,F,medium,large,medium,heavy,heavy,heavy,heavy,old_age
38,F,small,small,small,light,medium,light,light,young
39,F,medium,medium,medium,medium,medium,medium,medium,old_age
40,M,small,small,small,light,light,light,light,medium_age
41,F,small,small,small,light,light,light,light,medium_age
42,F,medium,medium,medium,medium,medium,medium,medium,old_age
43,I,small,small,small,light,light,light,light,young
44,I,small,small,small,light,light,light,light,young
45,I,small,small,small,light,light,light,light,young
46,I,small,small,small,light,light,light,light,young
47,M,small,small,small,medium,medium,heavy,light,medium_age
48,F,small,small,small,light,light,light,light,young
49,I,small,small,small,light,light,light,light,young
50,F,medium,medium,high,medium,medium,medium,medium,medium_age
51,I,medium,medium,small,medium,medium,light,medium,young
52,M,small,small,small,light,light,light,light,young
53,M,medium,small,medium,light,medium,light,light,medium_age
54,F,small,small,small,light,light,light,light,medium_age
55,M,small,small,small,light,light,light,light,young
56,F,medium,medium,medium,medium,medium,medium,medium,young
57,M,small,small,small,light,light,light,light,young
