id,buying,maint,doors,persons,lug_boot,safety,class_name
1,high,vhigh,2,2,med,med,unacc
2,low,low,5more,4,small,low,unacc
3,vhigh,low,2,2,med,low,unacc
4,med,med,4,4,small,low,unacc
5,vhigh,vhigh,2,more,small,high,unacc
6,low,med,3,more,big,high,vgood
7,low,med,5more,more,big,high,vgood
8,high,med,2,more,small,high,unacc
9,high,low,3,more,small,med,unacc
10,low,high,2,more,med,med,acc
11,high,vhigh,3,2,small,med,unacc
12,high,low,5more,4,small,med,unacc
13,low,low,2,4,small,high,good
14,high,high,5more,4,big,med,acc
15,vhigh,med,3,more,small,med,unacc
16,low,vhigh,2,more,small,high,unacc
17,vhigh,low,4,4,small,high,acc
18,low,med,5more,2,big,high,unacc
19,low,vhigh,5more,2,small,high,unacc
20,high,med,4,2,small,low,unacc
21,high,high,2,2,big,low,unacc
22,vhigh,low,2,4,small,low,unacc
23,low,low,5more,4,big,high,vgood
24,med,low,5more,more,big,low,unacc
25,med,med,4,2,small,high,unacc
26,vhigh,low,3,more,big,med,acc
27,vhigh,high,4,more,med,med,unacc
28,vhigh,vhigh,5more,4,small,low,unacc
29,med,med,2,2,big,low,unacc
30,high,low,3,more,big,low,unacc
31,vhigh,high,3,more,med,low,unacc
32,low,high,5more,more,med,low,unacc
33,high,med,4,4,med,high,acc
34,low,low,4,2,big,low,unacc
35,low,med,3,2,med,med,unacc
36,vhigh,high,5more,more,med,high,unacc
37,low,vhigh,3,more,small,low,unacc
38,low,vhigh,3,2,big,med,unacc
39,low,med,3,more,small,high,good
40,med,high,2,4,small,high,acc
41,high,high,3,4,big,med,acc
42,vhigh,low,5more,4,big,high,acc
43,high,low,5more,4,big,low,unacc
44,high,low,3,more,big,high,acc
45,low,high,5more,2,big,med,unacc
46,high,low,3,4,small,med,unacc
47,low,low,5more,more,big,low,unacc
48,low,med,4,4,med,high,vgood
49,med,low,2,4,small,high,good
50,vhigh,vhigh,5more,2,small,low,unacc
51,vhigh,low,5more,more,small,high,acc
52,med,high,3,2,med,med,unacc
53,high,med,5more,more,big,high,acc
54,med,vhigh,4,2,small,low,unacc
55,med,low,3,2,small,high,unacc
56,med,med,3,2,med,high,unacc
57,med,med,2,2,med,high,unacc
58,med,high,4,2,big,high,unacc
59,high,vhigh,5more,more,big,low,unacc
60,high,low,4,2,small,high,unacc
61,low,high,3,4,big,high,vgood
62,low,med,4,more,big,med,good
63,low,med,4,more,med,high,vgood
64,high,med,3,2,med,high,unacc
65,vhigh,vhigh,4,more,big,med,unacc
66,high,med,5more,2,med,low,unacc
67,vhigh,vhigh,5more,2,big,high,unacc
68,med,high,5more,4,big,med,acc
69,med,low,4,2,med,high,unacc
70,high,vhigh,2,more,med,med,unacc
71,high,med,2,more,small,med,unacc
72,low,med,3,2,small,high,unacc
73,high,vhigh,5more,2,big,high,unacc
74,low,med,2,4,big,low,unacc
75,high,vhigh,5more,2,big,low,unacc
76,med,vhigh,2,4,small,high,acc
77,high,med,3,2,big,med,unacc
78,vhigh,vhigh,5more,4,small,high,unacc
79,vhigh,low,3,more,big,low,unacc
80,low,low,2,4,med,med,acc
81,high,high,3,4,small,med,unacc
82,low,med,5more,2,big,low,unacc
83,vhigh,high,4,more,big,low,unacc
84,low,high,4,2,med,high,unacc
85,med,med,5more,4,big,med,acc
86,med,med,5more,2,small,high,unacc
87,med,vhigh,4,4,med,high,acc
88,med,vhigh,3,4,big,med,acc
89,high,low,4,4,big,low,unacc
90,vhigh,med,3,more,big,low,unacc
91,med,vhigh,5more,4,med,low,unacc
92,low,vhigh,5more,4,med,high,acc
93,high,med,2,2,med,high,unacc
94,med,high,4,2,med,low,unacc
95,med,vhigh,4,more,big,high,acc
96,med,low,5more,4,med,low,unacc
97,med,low,2,2,med,low,unacc
98,med,vhigh,5more,2,med,med,unacc
99,low,low,4,4,big,low,unacc
100,vhigh,vhigh,5more,more,med,low,unacc
101,med,vhigh,2,2,med,high,unacc
102,low,med,4,more,med,med,good
103,med,med,3,more,big,high,vgood
104,med,low,5more,more,med,low,unacc
105,vhigh,high,2,more,med,med,unacc
106,high,med,3,more,big,med,acc
107,low,low,5more,more,med,low,unacc
108,low,high,5more,more,med,med,acc
109,low,vhigh,3,2,med,med,unacc
110,med,med,5more,more,med,high,vgood
111,med,low,4,2,small,high,unacc
112,low,vhigh,3,2,med,high,unacc
113,vhigh,high,4,2,small,high,unacc
114,high,low,2,2,med,low,unacc
115,high,low,4,4,small,med,unacc
116,med,med,4,2,big,low,unacc
117,med,vhigh,3,2,small,med,unacc
118,vhigh,vhigh,2,2,med,med,unacc
119,med,high,2,more,med,low,unacc
120,high,low,2,more,big,med,acc
121,low,low,5more,4,big,low,unacc
122,vhigh,low,4,2,big,low,unacc
123,vhigh,med,2,4,med,med,unacc
124,vhigh,low,5more,more,med,high,acc
125,high,vhigh,2,more,small,med,unacc
126,med,vhigh,2,2,small,med,unacc
127,vhigh,low,4,more,big,med,acc
128,med,vhigh,5more,4,med,med,acc
129,low,vhigh,5more,more,med,med,acc
130,low,vhigh,5more,2,small,low,unacc
131,high,high,4,more,small,high,acc
132,high,vhigh,2,2,small,high,unacc
133,vhigh,low,5more,more,big,med,acc
134,med,med,4,4,med,med,acc
135,low,med,3,4,med,low,unacc
136,low,vhigh,5more,2,big,low,unacc
137,med,vhigh,5more,2,small,med,unacc
138,low,med,4,more,small,med,acc
139,high,high,5more,more,med,med,acc
140,high,low,3,more,big,med,acc
141,vhigh,high,3,2,small,high,unacc
142,low,low,4,more,small,low,unacc
143,vhigh,vhigh,5more,more,small,med,unacc
144,med,med,2,4,small,low,unacc
145,vhigh,low,4,2,med,high,unacc
146,med,med,2,more,small,low,unacc
147,vhigh,low,3,4,small,low,unacc
148,med,high,5more,2,big,med,unacc
149,low,low,4,4,small,high,good
150,med,low,4,more,med,med,good
151,vhigh,low,5more,2,small,med,unacc
152,med,med,2,more,big,med,acc
153,vhigh,med,3,4,med,high,acc
154,high,med,2,2,small,high,unacc
155,high,med,3,more,med,med,acc
156,high,med,2,more,big,high,acc
157,med,high,3,4,med,low,unacc
158,vhigh,high,4,4,small,high,unacc
159,vhigh,low,4,2,med,med,unacc
160,low,vhigh,5more,4,small,med,unacc
161,high,high,2,4,big,low,unacc
162,vhigh,low,5more,2,small,high,unacc
163,vhigh,low,4,4,big,low,unacc
164,low,high,3,more,med,high,vgood
165,low,low,4,4,med,med,good
166,vhigh,med,4,more,small,high,acc
167,vhigh,vhigh,3,more,big,med,unacc
