id,bkblk,bknwy,bkon8,bkona,bkspr,bkxbq,bkxcr,bkxwp,blxwp,bxqsq,cntxt,dsopp,dwipd,hdchk,katri,mulch,qxmsq,class_name
1,f,f,f,f,f,f,f,f,t,f,f,f,l,f,n,f,f,nowin
2,t,f,f,f,t,f,t,t,t,t,t,f,g,f,n,f,f,nowin
3,f,f,f,f,t,f,t,t,t,t,f,f,l,f,n,f,f,nowin
4,f,f,f,t,f,t,f,f,f,f,f,f,g,f,n,f,f,won
5,f,f,f,t,f,t,f,f,f,t,f,f,g,f,n,f,f,nowin
6,t,f,f,t,f,t,f,f,f,f,t,f,g,f,b,f,f,won
7,f,f,f,f,f,t,f,f,f,t,f,t,g,f,n,f,f,nowin
8,f,f,f,f,f,f,f,f,f,t,f,f,g,f,n,f,t,nowin
9,f,f,f,f,t,f,t,f,f,f,f,f,g,f,n,f,f,nowin
10,f,f,f,f,f,t,f,f,f,f,t,f,l,f,w,f,f,won
11,f,f,f,f,f,t,t,t,t,f,t,f,l,f,w,f,f,won
12,f,f,f,f,t,t,f,t,t,t,t,f,l,f,w,f,f,nowin
13,f,f,f,f,t,f,t,f,f,f,f,f,g,f,n,f,f,won
14,t,f,f,f,f,t,t,f,f,f,t,f,l,f,n,f,f,nowin
15,f,f,f,f,f,f,f,f,t,f,t,f,g,f,n,f,f,nowin
16,f,f,f,f,f,f,f,f,f,f,t,f,l,f,w,f,f,won
17,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
18,f,f,f,f,f,f,f,f,f,f,f,f,l,f,w,f,f,nowin
19,f,f,f,f,t,f,t,f,f,t,f,f,g,f,n,f,f,nowin
20,f,f,f,f,f,t,f,f,f,t,t,f,g,f,b,f,f,nowin
21,f,f,f,t,t,t,f,f,f,f,f,f,g,f,n,f,f,won
22,t,f,f,f,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
23,f,f,f,f,f,t,t,f,t,f,f,f,l,f,n,f,f,won
24,f,f,f,f,f,f,f,f,f,f,f,f,g,f,n,f,f,nowin
25,f,f,f,f,t,t,t,t,t,f,f,f,l,f,n,f,f,won
26,f,f,f,f,t,f,t,t,t,t,f,f,l,f,n,t,f,nowin
27,f,f,f,t,f,f,t,t,t,f,f,t,l,f,w,f,f,nowin
28,f,f,f,f,f,t,f,f,f,t,f,t,g,f,n,f,f,nowin
29,f,f,f,f,t,f,t,t,t,t,t,f,g,f,n,f,f,won
30,f,f,f,f,f,f,f,f,t,f,f,t,l,f,n,f,f,won
31,f,f,f,f,f,f,f,f,f,f,f,f,l,f,n,f,f,won
32,f,f,f,f,f,t,t,t,t,f,t,f,l,f,n,f,f,won
33,f,f,f,f,f,f,f,f,f,f,t,f,l,f,n,f,f,nowin
34,f,f,f,f,f,t,t,f,t,f,t,t,g,f,n,f,f,won
35,f,f,f,f,f,t,f,f,f,f,f,t,g,f,n,f,f,won
36,f,f,f,t,f,t,t,t,t,t,f,f,l,f,n,f,f,nowin
37,f,f,f,t,f,t,t,t,t,f,t,f,l,f,w,f,f,won
38,f,f,f,f,f,t,f,f,f,f,f,f,l,f,n,f,f,won
39,f,f,f,f,f,t,f,f,f,t,t,f,g,f,n,f,f,nowin
40,f,f,f,f,f,t,f,f,f,t,f,t,g,f,n,f,f,nowin
41,f,f,f,f,f,f,f,f,f,f,f,t,l,f,n,f,f,won
42,f,f,f,f,f,t,f,f,t,f,f,f,g,f,n,f,f,won
43,f,f,f,f,f,f,f,f,f,t,t,f,l,f,w,f,f,won
44,f,f,f,f,f,f,f,f,f,f,t,f,g,f,b,f,t,nowin
45,t,f,f,f,t,f,t,t,t,t,t,f,l,f,w,f,f,nowin
46,t,f,f,t,t,f,f,f,f,f,t,f,g,f,n,f,f,won
47,f,f,f,f,t,t,t,f,f,f,t,f,l,f,n,f,f,won
48,f,f,f,f,t,f,f,f,f,f,t,f,l,f,b,f,f,nowin
49,f,f,f,f,f,f,f,f,f,t,t,f,l,f,b,f,f,nowin
50,f,f,f,f,f,t,f,f,f,f,t,f,l,f,w,f,f,won
51,f,f,f,f,f,t,f,t,t,t,f,f,g,f,n,f,f,nowin
52,f,f,f,f,f,f,t,f,f,f,f,f,l,f,w,f,f,nowin
53,f,f,f,f,t,f,f,f,f,f,f,f,g,f,n,f,f,nowin
54,f,f,f,f,t,t,t,f,f,f,t,f,l,f,w,f,f,won
55,f,f,f,f,t,f,f,f,f,f,f,f,g,f,n,f,f,won
56,f,f,f,f,t,f,f,f,f,f,f,f,l,f,n,f,f,nowin
57,f,f,f,f,f,t,f,f,t,f,t,f,g,f,n,f,f,won
58,f,f,f,f,f,t,t,t,t,f,f,f,l,f,n,f,f,won
