Company,ProductTypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,class_name
Dell,Notebook,Standard,1366_768,Intel_Core_i5,4GB,HDD,Intel,Windows_10,Medium,Mid_Range
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Medium,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD_HDD,AMD,Windows_10,Medium,Mid_Range
Asus,Notebook,Standard,Full_HD,Intel_Core_i3,4GB,SSD,Intel,Other,Medium,Low
Other,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Medium,High
Lenovo,Notebook,Standard,1366_768,Intel_Core_i3,4GB,HDD,Intel,Other,Medium,Low
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i3,4GB,SSD,Intel,Windows_10,Light,Low
HP,Notebook,Standard,1366_768,Intel_Core_i5,8GB,HDD,Nvidia,Windows_10,Medium,Mid_Range
HP,Notebook,Standard,Full_HD,AMD,4GB,HDD,AMD,Windows_10,Medium,Low
Lenovo,Ultrabook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Asus,Notebook,Gaming,Full_HD,Intel_Core_i7,8GB,SSD_HDD,Nvidia,Other,Heavy,Mid_Range
HP,Notebook,Standard,Full_HD,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Medium,High
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i7,8GB,HDD,Nvidia,Windows_10,Medium,Mid_Range
Acer,Netbook,Small,Other,Intel_Celeron,4GB,Flash_Storage,Intel,Other,Light,Low
Asus,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Medium,High
Acer,Notebook,Standard,1366_768,Intel_Core_i5,4GB,HDD,Intel,Windows_10,Heavy,Low
HP,Notebook,Standard,1366_768,AMD,4GB,HDD,AMD,Windows_10,Medium,Low
Dell,Notebook,Gaming,Full_HD,Intel_Core_i7,8GB,HDD,Nvidia,Windows_10,Heavy,High
Dell,Notebook,Standard,Full_HD,Intel_Core_i3,4GB,SSD,AMD,Other,Medium,Low
Asus,Notebook,Standard,1366_768,AMD,4GB,HDD,AMD,Windows_10,Medium,Low
Lenovo,Gaming,Standard,Full_HD,Intel_Core_i7,8GB,HDD,Nvidia,Windows_10,Heavy,Mid_Range
Acer,Ultrabook,Standard,Full_HD,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,Mid_Range
Lenovo,Ultrabook,Small,Full_HD_Touchscreen,Intel_Core_i7,8GB,SSD,Intel,Windows_10,Light,High
Acer,Notebook,Standard,1366_768,AMD,8GB,HDD,AMD,Windows_10,Heavy,Low
Acer,Notebook,Standard,1366_768,AMD,4GB,HDD,AMD,Windows_10,Heavy,Low
Lenovo,Notebook,Standard,1366_768,Intel_Core_i3,4GB,HDD,Intel,Other,Medium,Low
Lenovo,Notebook,Standard,Full_HD,Intel_Core_i3,8GB,HDD,Nvidia,Other,Medium,Low
Other,Notebook,Standard,1366_768,Intel_Core_i5,4GB,SSD,Intel,Windows_10,Heavy,Low
Acer,Notebook,Gaming,Full_HD,Intel_Core_i5,4GB,SSD,Nvidia,Windows_10,Heavy,Mid_Range
Lenovo,Gaming,Standard,Full_HD,Intel_Core_i7,16GB,SSD,Nvidia,Windows_10,Heavy,Mid_Range
Dell,Notebook,Standard,1366_768,Intel_Core_i3,4GB,HDD,AMD,Other,Heavy,Low
Other,Ultrabook,Small,Other,Intel_Core_i5,8GB,SSD,Intel,Other,Light,High
HP,Notebook,Standard,Full_HD,Intel_Core_i3,8GB,HDD,Nvidia,Windows_10,Medium,Low
Other,Gaming,Gaming,Full_HD,Intel_Core_i7,16GB,SSD_HDD,Nvidia,Windows_10,Heavy,High
Dell,Netbook,Standard,Full_HD_Touchscreen,Intel_Core_i5,8GB,SSD,Intel,Windows_10,Medium,Mid_Range
