Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,class_name
M,small,small,small,light,light,light,light,old_age
M,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,small,small,medium,light,light,light,light,medium_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,medium,medium,heavy,old_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
M,small,small,medium,light,light,light,medium,medium_age
F,medium,medium,medium,medium,medium,medium,heavy,old_age
F,medium,medium,medium,medium,light,medium,medium,old_age
M,small,small,small,light,light,light,light,medium_age
M,medium,medium,medium,light,light,light,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
F,small,small,small,light,light,light,medium,medium_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,young
F,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,young
M,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,old_age
I,small,small,small,light,light,light,light,medium_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,medium_age
F,medium,medium,medium,medium,medium,medium,heavy,old_age
F,medium,medium,high,medium,medium,heavy,medium,old_age
M,medium,medium,medium,medium,medium,heavy,medium,old_age
M,large,large,high,medium,medium,medium,heavy,old_age
M,medium,medium,medium,medium,medium,heavy,medium,old_age
M,medium,large,high,medium,medium,heavy,heavy,medium_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,small,small,small,light,light,medium,light,young
F,medium,large,medium,heavy,heavy,heavy,heavy,old_age
F,small,small,small,light,medium,light,light,young
F,medium,medium,medium,medium,medium,medium,medium,old_age
M,small,small,small,light,light,light,light,medium_age
F,small,small,small,light,light,light,light,medium_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
M,small,small,small,medium,medium,heavy,light,medium_age
F,small,small,small,light,light,light,light,young
I,small,small,small,light,light,light,light,young
F,medium,medium,high,medium,medium,medium,medium,medium_age
I,medium,medium,small,medium,medium,light,medium,young
M,small,small,small,light,light,light,light,young
M,medium,small,medium,light,medium,light,light,medium_age
F,small,small,small,light,light,light,light,medium_age
M,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,medium,medium,medium,young
M,small,small,small,light,light,light,light,young
M,small,medium,medium,medium,medium,medium,medium,young
I,small,small,small,light,light,light,light,young
F,medium,medium,medium,medium,medium,medium,medium,young
M,small,small,small,light,light,light,light,young
M,medium,medium,small,medium,medium,medium,medium,medium_age
F,medium,medium,medium,medium,medium,medium,medium,medium_age
M,small,small,small,light,light,light,light,young
M,medium,medium,small,medium,light,medium,medium,young
M,small,small,small,light,light,light,light,young
F,medium,medium,high,medium,medium,medium,heavy,old_age
F,large,large,high,heavy,medium,heavy,heavy,old_age
F,small,medium,small,light,light,light,medium,medium_age
I,small,small,small,light,light,light,light,young
M,medium,medium,medium,medium,medium,medium,medium,old_age
F,small,small,small,light,light,light,light,young
F,large,large,high,heavy,heavy,heavy,heavy,old_age
M,medium,large,high,heavy,heavy,heavy,heavy,old_age
F,large,medium,high,heavy,heavy,heavy,heavy,old_age
F,large,large,medium,medium,medium,medium,medium,old_age
M,large,large,medium,medium,medium,medium,heavy,medium_age
F,large,large,medium,medium,medium,medium,heavy,medium_age
F,medium,medium,medium,medium,medium,medium,medium,old_age
F,large,large,high,heavy,heavy,heavy,heavy,old_age
F,medium,medium,medium,medium,medium,heavy,medium,medium_age
M,large,large,high,heavy,heavy,medium,heavy,old_age
F,medium,medium,high,medium,medium,heavy,heavy,old_age
M,large,large,high,heavy,medium,heavy,heavy,old_age
M,medium,medium,medium,medium,medium,medium,heavy,old_age
F,medium,large,high,heavy,medium,heavy,heavy,old_age
M,large,large,medium,heavy,heavy,medium,heavy,old_age
M,medium,medium,high,medium,medium,medium,medium,medium_age
F,small,small,medium,light,light,light,medium,medium_age
F,medium,medium,high,medium,medium,heavy,heavy,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
M,medium,medium,medium,medium,medium,medium,medium,old_age
