gender,ssc_b,hsc_b,hsc_s,degree_t,workex,specialisation,class_name
M,Others,Others,Commerce,Sci_Tech,No,Mkt_HR,Placed
M,Central,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Central,Central,Arts,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Science,Sci_Tech,No,Mkt_HR,Not
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Not
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
M,Central,Central,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_HR,Placed
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Others,Science,Comm_Mgmt,No,Mkt_HR,Not
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Not
F,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Not
M,Others,Others,Arts,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
F,Others,Others,Commerce,Comm_Mgmt,No,Mkt_Fin,Placed
F,Others,Others,Science,Sci_Tech,No,Mkt_HR,Placed
F,Others,Others,Science,Sci_Tech,Yes,Mkt_Fin,Placed
M,Others,Others,Science,Sci_Tech,No,Mkt_Fin,Placed
F,Others,Central,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Not
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Others,Others,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
M,Others,Others,Commerce,Comm_Mgmt,Yes,Mkt_Fin,Placed
M,Central,Central,Commerce,Comm_Mgmt,No,Mkt_Fin,Not
F,Central,Central,Commerce,Comm_Mgmt,No,Mkt_HR,Placed
