id,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square,class_name
1,x,o,x,o,b,x,b,o,x,positive
2,o,x,x,o,o,o,x,x,b,negative
3,o,x,b,x,x,x,o,o,b,positive
4,x,b,o,x,o,b,x,x,o,positive
5,o,o,x,o,x,x,o,x,b,negative
6,x,o,b,x,b,o,x,o,x,positive
7,o,x,b,b,o,o,x,x,x,positive
8,b,x,o,x,x,o,b,b,o,negative
9,x,x,b,o,x,b,o,x,o,positive
10,o,x,x,o,x,b,x,o,b,positive
11,o,x,o,b,x,b,b,x,b,positive
12,o,o,o,o,x,x,b,x,x,negative
13,o,x,o,x,x,x,b,o,b,positive
14,x,o,b,x,o,o,x,x,b,positive
15,x,b,x,b,o,x,o,o,x,positive
16,x,b,o,b,x,o,x,o,x,positive
17,x,x,x,o,x,o,o,x,o,positive
18,x,o,o,o,x,x,x,o,x,positive
19,b,x,o,o,x,b,b,x,b,positive
20,x,x,x,o,o,b,o,b,x,positive
21,x,o,o,b,o,x,x,o,x,negative
22,x,o,o,x,b,b,x,o,x,positive
23,x,o,o,b,x,b,x,o,x,positive
24,x,x,x,o,o,x,o,b,b,positive
25,x,x,x,b,b,o,o,x,o,positive
26,x,x,o,b,x,b,o,x,o,positive
27,x,o,x,b,o,b,b,o,x,negative
28,x,o,x,x,b,o,x,b,o,positive
29,o,b,b,o,b,x,o,x,x,negative
30,b,x,x,o,o,o,o,x,x,negative
31,x,b,o,x,x,b,x,o,o,positive
32,x,x,o,x,b,o,x,o,b,positive
33,o,b,o,b,b,b,x,x,x,positive
34,x,o,o,x,o,x,o,b,x,negative
35,b,x,o,x,x,x,b,o,o,positive
36,x,b,x,x,b,b,o,o,o,negative
37,x,b,x,o,x,x,o,o,o,negative
38,o,x,x,o,x,o,o,b,x,negative
39,b,o,x,b,o,x,b,b,x,positive
40,o,b,x,x,o,x,b,b,o,negative
41,x,x,x,o,o,b,b,o,x,positive
42,b,o,o,b,b,b,x,x,x,positive
43,b,o,x,x,x,x,o,o,b,positive
44,b,o,x,b,o,o,x,x,x,positive
45,x,x,x,b,o,o,x,o,b,positive
46,x,x,b,b,x,b,o,o,o,negative
47,x,x,x,o,b,o,o,b,x,positive
48,o,o,x,o,x,x,x,o,x,positive
49,b,x,x,b,o,x,o,o,x,positive
50,x,o,o,b,x,b,o,x,x,positive
51,b,b,o,x,x,x,b,o,b,positive
52,x,x,o,x,o,x,x,o,o,positive
53,b,x,x,b,x,o,o,x,o,positive
54,o,x,x,x,o,b,b,b,o,negative
55,o,x,x,b,o,o,x,x,o,negative
56,b,x,x,o,x,b,x,o,o,positive
57,x,b,b,x,x,o,x,o,o,positive
58,o,o,b,b,b,b,x,x,x,positive
59,x,o,x,b,o,o,x,o,x,negative
60,o,o,x,b,x,b,x,x,o,positive
