left,right,confidence,support
{'thrsk=f'},{'spcop=f'},1,0
"{'skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','thrsk=f'}",{'spcop=f'},1,0
{'wkna=f'},{'stlmt=f'},1,0
"{'spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'reskd=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','wkna=f'}",{'stlmt=f'},1,0
"{'reskd=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','reskd=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'reskd=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','reskd=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','reskd=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','reskd=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','reskd=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','reskd=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','wkna=f'}",{'stlmt=f'},1,0
"{'skrxp=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','hdchk=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'skach=f','skrxp=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','reskd=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','qxmsq=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'mulch=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'qxmsq=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','mulch=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','skrxp=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','skrxp=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','wkna=f'}",{'stlmt=f'},1,0
"{'qxmsq=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'mulch=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'reskd=f','skach=f','skrxp=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','skach=f','skrxp=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','wkna=f'}",{'stlmt=f'},1,0
"{'qxmsq=f','reskd=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'mulch=f','reskd=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'qxmsq=f','reskd=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','mulch=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','mulch=f','reskd=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','reskd=f','skrxp=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'stlmt=f','thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'spcop=f','thrsk=f','wkna=f'}",{'stlmt=f'},1,0
"{'thrsk=f','wkna=f'}",{'spcop=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','wkna=f'}",{'stlmt=f'},1,0
"{'mulch=f','reskd=f','skach=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'qxmsq=f','reskd=f','skach=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'bkon=f','hdchk=f','skach=f','spcop=f','wkna=f'}",{'stlmt=f'},1,0
"{'bkon=f','hdchk=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'qxmsq=f','reskd=f','skach=f','wkna=f'}",{'stlmt=f'},1,0
"{'hdchk=f','qxmsq=f','reskd=f','stlmt=f','thrsk=f'}",{'spcop=f'},1,0
"{'hdchk=f','reskd=f','skach=f','skrxp=f','thrsk=f'}",{'spcop=f'},1,0
