support,itemsets
0.41379310344827586,frozenset({'handicapped-infants'})
0.46120689655172414,frozenset({'water-project-cost-sharing'})
0.5301724137931034,frozenset({'adoption-of-the-budget-resolution'})
0.4870689655172414,frozenset({'physician-fee-freeze'})
0.5517241379310345,frozenset({'el-salvador-aid'})
0.6422413793103449,frozenset({'religious-groups-in-schools'})
0.5344827586206896,frozenset({'anti-satellite-test-ban'})
0.5129310344827587,frozenset({'aid-to-nicaraguan-contras'})
0.4870689655172414,frozenset({'mx-missile'})
0.5517241379310345,frozenset({'immigration'})
0.3448275862068966,frozenset({'synfuels-corporation-cutback'})
0.46551724137931033,frozenset({'education-spending'})
0.5474137931034483,frozenset({'superfund-right-to-sue'})
0.6422413793103449,frozenset({'crime'})
0.3706896551724138,frozenset({'duty-free-exports'})
0.8146551724137931,frozenset({'export-administration-act-south-africa'})
0.3146551724137931,"frozenset({'adoption-of-the-budget-resolution', 'handicapped-infants'})"
0.3103448275862069,"frozenset({'anti-satellite-test-ban', 'handicapped-infants'})"
0.30603448275862066,"frozenset({'aid-to-nicaraguan-contras', 'handicapped-infants'})"
0.38362068965517243,"frozenset({'export-administration-act-south-africa', 'handicapped-infants'})"
0.3275862068965517,"frozenset({'religious-groups-in-schools', 'water-project-cost-sharing'})"
0.3103448275862069,"frozenset({'superfund-right-to-sue', 'water-project-cost-sharing'})"
0.36637931034482757,"frozenset({'export-administration-act-south-africa', 'water-project-cost-sharing'})"
0.4267241379310345,"frozenset({'anti-satellite-test-ban', 'adoption-of-the-budget-resolution'})"
0.4482758620689655,"frozenset({'adoption-of-the-budget-resolution', 'aid-to-nicaraguan-contras'})"
0.41810344827586204,"frozenset({'mx-missile', 'adoption-of-the-budget-resolution'})"
0.3146551724137931,"frozenset({'adoption-of-the-budget-resolution', 'immigration'})"
0.3017241379310345,"frozenset({'adoption-of-the-budget-resolution', 'duty-free-exports'})"
0.5258620689655172,"frozenset({'adoption-of-the-budget-resolution', 'export-administration-act-south-africa'})"
0.46551724137931033,"frozenset({'el-salvador-aid', 'physician-fee-freeze'})"
0.4267241379310345,"frozenset({'religious-groups-in-schools', 'physician-fee-freeze'})"
0.41379310344827586,"frozenset({'physician-fee-freeze', 'education-spending'})"
0.40948275862068967,"frozenset({'superfund-right-to-sue', 'physician-fee-freeze'})"
0.47844827586206895,"frozenset({'crime', 'physician-fee-freeze'})"
0.31896551724137934,"frozenset({'export-administration-act-south-africa', 'physician-fee-freeze'})"
0.5129310344827587,"frozenset({'el-salvador-aid', 'religious-groups-in-schools'})"
0.44396551724137934,"frozenset({'el-salvador-aid', 'education-spending'})"
0.46551724137931033,"frozenset({'el-salvador-aid', 'superfund-right-to-sue'})"
0.521551724137931,"frozenset({'el-salvador-aid', 'crime'})"
0.375,"frozenset({'el-salvador-aid', 'export-administration-act-south-africa'})"
0.35344827586206895,"frozenset({'religious-groups-in-schools', 'immigration'})"
0.4353448275862069,"frozenset({'religious-groups-in-schools', 'education-spending'})"
0.49137931034482757,"frozenset({'religious-groups-in-schools', 'superfund-right-to-sue'})"
0.5387931034482759,"frozenset({'crime', 'religious-groups-in-schools'})"
0.4698275862068966,"frozenset({'export-administration-act-south-africa', 'religious-groups-in-schools'})"
0.44396551724137934,"frozenset({'anti-satellite-test-ban', 'aid-to-nicaraguan-contras'})"
0.41810344827586204,"frozenset({'anti-satellite-test-ban', 'mx-missile'})"
0.3103448275862069,"frozenset({'anti-satellite-test-ban', 'immigration'})"
