support,itemsets
0.542528735632184,frozenset({'handicapped-infants_n'})
0.4298850574712644,frozenset({'handicapped-infants_y'})
0.4413793103448276,frozenset({'water-project-cost-sharing_n'})
0.4482758620689655,frozenset({'water-project-cost-sharing_y'})
0.3931034482758621,frozenset({'adoption-of-the-budget-resolution_n'})
0.5816091954022988,frozenset({'adoption-of-the-budget-resolution_y'})
0.5678160919540229,frozenset({'physician-fee-freeze_n'})
0.4068965517241379,frozenset({'physician-fee-freeze_y'})
0.4781609195402299,frozenset({'el-salvador-aid_n'})
0.48735632183908045,frozenset({'el-salvador-aid_y'})
0.34942528735632183,frozenset({'religious-groups-in-schools_n'})
0.6252873563218391,frozenset({'religious-groups-in-schools_y'})
0.41839080459770117,frozenset({'anti-satellite-test-ban_n'})
0.5494252873563218,frozenset({'anti-satellite-test-ban_y'})
0.4091954022988506,frozenset({'aid-to-nicaraguan-contras_n'})
0.5563218390804597,frozenset({'aid-to-nicaraguan-contras_y'})
0.4735632183908046,frozenset({'mx-missile_n'})
0.47586206896551725,frozenset({'mx-missile_y'})
0.48735632183908045,frozenset({'immigration_n'})
0.496551724137931,frozenset({'immigration_y'})
0.6068965517241379,frozenset({'synfuels-corporation-cutback_n'})
0.3448275862068966,frozenset({'synfuels-corporation-cutback_y'})
0.535632183908046,frozenset({'education-spending_n'})
0.3931034482758621,frozenset({'education-spending_y'})
0.46206896551724136,frozenset({'superfund-right-to-sue_n'})
0.4804597701149425,frozenset({'superfund-right-to-sue_y'})
0.39080459770114945,frozenset({'crime_n'})
0.5701149425287356,frozenset({'crime_y'})
0.535632183908046,frozenset({'duty-free-exports_n'})
0.4,frozenset({'duty-free-exports_y'})
0.6183908045977011,frozenset({'export-administration-act-south-africa_y'})
0.3103448275862069,"frozenset({'adoption-of-the-budget-resolution_n', 'handicapped-infants_n'})"
0.3264367816091954,"frozenset({'physician-fee-freeze_y', 'handicapped-infants_n'})"
0.36091954022988504,"frozenset({'handicapped-infants_n', 'el-salvador-aid_y'})"
0.4367816091954023,"frozenset({'handicapped-infants_n', 'religious-groups-in-schools_y'})"
0.31724137931034485,"frozenset({'handicapped-infants_n', 'anti-satellite-test-ban_n'})"
0.31724137931034485,"frozenset({'handicapped-infants_n', 'aid-to-nicaraguan-contras_n'})"
0.3471264367816092,"frozenset({'mx-missile_n', 'handicapped-infants_n'})"
0.3563218390804598,"frozenset({'handicapped-infants_n', 'synfuels-corporation-cutback_n'})"
0.31264367816091954,"frozenset({'handicapped-infants_n', 'education-spending_y'})"
0.3448275862068966,"frozenset({'handicapped-infants_n', 'superfund-right-to-sue_y'})"
0.39770114942528734,"frozenset({'handicapped-infants_n', 'crime_y'})"
0.335632183908046,"frozenset({'duty-free-exports_n', 'handicapped-infants_n'})"
0.335632183908046,"frozenset({'handicapped-infants_n', 'export-administration-act-south-africa_y'})"
0.3471264367816092,"frozenset({'adoption-of-the-budget-resolution_y', 'handicapped-infants_y'})"
0.3448275862068966,"frozenset({'physician-fee-freeze_n', 'handicapped-infants_y'})"
0.3218390804597701,"frozenset({'anti-satellite-test-ban_y', 'handicapped-infants_y'})"
0.335632183908046,"frozenset({'aid-to-nicaraguan-contras_y', 'handicapped-infants_y'})"
0.3264367816091954,"frozenset({'education-spending_n', 'handicapped-infants_y'})"
0.3080459770114943,"frozenset({'water-project-cost-sharing_n', 'synfuels-corporation-cutback_n'})"
0.30344827586206896,"frozenset({'water-project-cost-sharing_n', 'export-administration-act-south-africa_y'})"
0.31494252873563217,"frozenset({'water-project-cost-sharing_y', 'religious-groups-in-schools_y'})"
0.335632183908046,"frozenset({'physician-fee-freeze_y', 'adoption-of-the-budget-resolution_n'})"
0.35172413793103446,"frozenset({'adoption-of-the-budget-resolution_n', 'el-salvador-aid_y'})"
0.3471264367816092,"frozenset({'adoption-of-the-budget-resolution_n', 'religious-groups-in-schools_y'})"
0.3218390804597701,"frozenset({'adoption-of-the-budget-resolution_n', 'aid-to-nicaraguan-contras_n'})"
0.335632183908046,"frozenset({'mx-missile_n', 'adoption-of-the-budget-resolution_n'})"
0.3057471264367816,"frozenset({'adoption-of-the-budget-resolution_n', 'education-spending_y'})"
0.31264367816091954,"frozenset({'adoption-of-the-budget-resolution_n', 'superfund-right-to-sue_y'})"
0.3632183908045977,"frozenset({'adoption-of-the-budget-resolution_n', 'crime_y'})"
0.3218390804597701,"frozenset({'duty-free-exports_n', 'adoption-of-the-budget-resolution_n'})"
0.503448275862069,"frozenset({'physician-fee-freeze_n', 'adoption-of-the-budget-resolution_y'})"
0.432183908045977,"frozenset({'adoption-of-the-budget-resolution_y', 'el-salvador-aid_n'})"
0.30344827586206896,"frozenset({'adoption-of-the-budget-resolution_y', 'religious-groups-in-schools_n'})"
0.46206896551724136,"frozenset({'adoption-of-the-budget-resolution_y', 'anti-satellite-test-ban_y'})"
0.4942528735632184,"frozenset({'aid-to-nicaraguan-contras_y', 'adoption-of-the-budget-resolution_y'})"
0.41379310344827586,"frozenset({'adoption-of-the-budget-resolution_y', 'mx-missile_y'})"
0.3057471264367816,"frozenset({'adoption-of-the-budget-resolution_y', 'synfuels-corporation-cutback_n'})"
0.46206896551724136,"frozenset({'adoption-of-the-budget-resolution_y', 'education-spending_n'})"
0.3954022988505747,"frozenset({'adoption-of-the-budget-resolution_y', 'superfund-right-to-sue_n'})"
0.3632183908045977,"frozenset({'adoption-of-the-budget-resolution_y', 'crime_n'})"
0.3471264367816092,"frozenset({'adoption-of-the-budget-resolution_y', 'duty-free-exports_y'})"
0.39770114942528734,"frozenset({'adoption-of-the-budget-resolution_y', 'export-administration-act-south-africa_y'})"
0.4482758620689655,"frozenset({'physician-fee-freeze_n', 'el-salvador-aid_n'})"
0.3080459770114943,"frozenset({'physician-fee-freeze_n', 'religious-groups-in-schools_n'})"
0.4528735632183908,"frozenset({'physician-fee-freeze_n', 'anti-satellite-test-ban_y'})"
0.4850574712643678,"frozenset({'aid-to-nicaraguan-contras_y', 'physician-fee-freeze_n'})"
0.41379310344827586,"frozenset({'physician-fee-freeze_n', 'mx-missile_y'})"
0.46436781609195404,"frozenset({'physician-fee-freeze_n', 'education-spending_n'})"
0.4091954022988506,"frozenset({'physician-fee-freeze_n', 'superfund-right-to-sue_n'})"
0.37471264367816093,"frozenset({'physician-fee-freeze_n', 'crime_n'})"
0.3563218390804598,"frozenset({'physician-fee-freeze_n', 'duty-free-exports_y'})"
0.3816091954022989,"frozenset({'physician-fee-freeze_n', 'export-administration-act-south-africa_y'})"
0.38620689655172413,"frozenset({'physician-fee-freeze_y', 'el-salvador-aid_y'})"
0.367816091954023,"frozenset({'physician-fee-freeze_y', 'religious-groups-in-schools_y'})"
0.3080459770114943,"frozenset({'physician-fee-freeze_y', 'anti-satellite-test-ban_n'})"
0.32873563218390806,"frozenset({'physician-fee-freeze_y', 'aid-to-nicaraguan-contras_n'})"
0.35402298850574715,"frozenset({'mx-missile_n', 'physician-fee-freeze_y'})"
0.31724137931034485,"frozenset({'physician-fee-freeze_y', 'synfuels-corporation-cutback_n'})"
0.32413793103448274,"frozenset({'physician-fee-freeze_y', 'education-spending_y'})"
0.3333333333333333,"frozenset({'physician-fee-freeze_y', 'superfund-right-to-sue_y'})"
0.38620689655172413,"frozenset({'physician-fee-freeze_y', 'crime_y'})"
0.3448275862068966,"frozenset({'duty-free-exports_n', 'physician-fee-freeze_y'})"
0.31494252873563217,"frozenset({'el-salvador-aid_n', 'religious-groups-in-schools_n'})"
0.432183908045977,"frozenset({'anti-satellite-test-ban_y', 'el-salvador-aid_n'})"
0.4689655172413793,"frozenset({'aid-to-nicaraguan-contras_y', 'el-salvador-aid_n'})"
0.4114942528735632,"frozenset({'el-salvador-aid_n', 'mx-missile_y'})"
0.4068965517241379,"frozenset({'education-spending_n', 'el-salvador-aid_n'})"
0.37471264367816093,"frozenset({'superfund-right-to-sue_n', 'el-salvador-aid_n'})"
0.35172413793103446,"frozenset({'crime_n', 'el-salvador-aid_n'})"
0.32413793103448274,"frozenset({'duty-free-exports_y', 'el-salvador-aid_n'})"
0.3333333333333333,"frozenset({'export-administration-act-south-africa_y', 'el-salvador-aid_n'})"
0.4528735632183908,"frozenset({'el-salvador-aid_y', 'religious-groups-in-schools_y'})"
0.3724137931034483,"frozenset({'anti-satellite-test-ban_n', 'el-salvador-aid_y'})"
0.3954022988505747,"frozenset({'aid-to-nicaraguan-contras_n', 'el-salvador-aid_y'})"
0.42298850574712643,"frozenset({'mx-missile_n', 'el-salvador-aid_y'})"
0.3333333333333333,"frozenset({'synfuels-corporation-cutback_n', 'el-salvador-aid_y'})"
0.3425287356321839,"frozenset({'education-spending_y', 'el-salvador-aid_y'})"
0.39080459770114945,"frozenset({'superfund-right-to-sue_y', 'el-salvador-aid_y'})"
0.4459770114942529,"frozenset({'crime_y', 'el-salvador-aid_y'})"
0.3931034482758621,"frozenset({'duty-free-exports_n', 'el-salvador-aid_y'})"
0.3195402298850575,"frozenset({'anti-satellite-test-ban_y', 'religious-groups-in-schools_n'})"
0.3264367816091954,"frozenset({'aid-to-nicaraguan-contras_y', 'religious-groups-in-schools_n'})"
0.30114942528735633,"frozenset({'education-spending_n', 'religious-groups-in-schools_n'})"
0.38850574712643676,"frozenset({'anti-satellite-test-ban_n', 'religious-groups-in-schools_y'})"
0.3816091954022989,"frozenset({'aid-to-nicaraguan-contras_n', 'religious-groups-in-schools_y'})"
0.432183908045977,"frozenset({'mx-missile_n', 'religious-groups-in-schools_y'})"
0.335632183908046,"frozenset({'immigration_y', 'religious-groups-in-schools_y'})"
0.3816091954022989,"frozenset({'synfuels-corporation-cutback_n', 'religious-groups-in-schools_y'})"
0.36551724137931035,"frozenset({'education-spending_y', 'religious-groups-in-schools_y'})"
0.42758620689655175,"frozenset({'superfund-right-to-sue_y', 'religious-groups-in-schools_y'})"
0.49195402298850577,"frozenset({'crime_y', 'religious-groups-in-schools_y'})"
0.4436781609195402,"frozenset({'duty-free-exports_n', 'religious-groups-in-schools_y'})"
0.3632183908045977,"frozenset({'export-administration-act-south-africa_y', 'religious-groups-in-schools_y'})"
0.3425287356321839,"frozenset({'anti-satellite-test-ban_n', 'aid-to-nicaraguan-contras_n'})"
0.3586206896551724,"frozenset({'mx-missile_n', 'anti-satellite-test-ban_n'})"
0.33793103448275863,"frozenset({'anti-satellite-test-ban_n', 'superfund-right-to-sue_y'})"
0.36091954022988504,"frozenset({'anti-satellite-test-ban_n', 'crime_y'})"
0.3425287356321839,"frozenset({'duty-free-exports_n', 'anti-satellite-test-ban_n'})"
0.4827586206896552,"frozenset({'aid-to-nicaraguan-contras_y', 'anti-satellite-test-ban_y'})"
0.41839080459770117,"frozenset({'anti-satellite-test-ban_y', 'mx-missile_y'})"
0.3264367816091954,"frozenset({'anti-satellite-test-ban_y', 'synfuels-corporation-cutback_n'})"
0.42298850574712643,"frozenset({'anti-satellite-test-ban_y', 'education-spending_n'})"
0.39080459770114945,"frozenset({'anti-satellite-test-ban_y', 'superfund-right-to-sue_n'})"
0.34022988505747126,"frozenset({'anti-satellite-test-ban_y', 'crime_n'})"
0.3333333333333333,"frozenset({'duty-free-exports_y', 'anti-satellite-test-ban_y'})"
0.3954022988505747,"frozenset({'anti-satellite-test-ban_y', 'export-administration-act-south-africa_y'})"
0.3724137931034483,"frozenset({'mx-missile_n', 'aid-to-nicaraguan-contras_n'})"
0.30344827586206896,"frozenset({'education-spending_y', 'aid-to-nicaraguan-contras_n'})"
0.3425287356321839,"frozenset({'superfund-right-to-sue_y', 'aid-to-nicaraguan-contras_n'})"
0.3816091954022989,"frozenset({'crime_y', 'aid-to-nicaraguan-contras_n'})"
0.34942528735632183,"frozenset({'duty-free-exports_n', 'aid-to-nicaraguan-contras_n'})"
0.4413793103448276,"frozenset({'aid-to-nicaraguan-contras_y', 'mx-missile_y'})"
0.3080459770114943,"frozenset({'aid-to-nicaraguan-contras_y', 'synfuels-corporation-cutback_n'})"
0.4459770114942529,"frozenset({'aid-to-nicaraguan-contras_y', 'education-spending_n'})"
0.4045977011494253,"frozenset({'aid-to-nicaraguan-contras_y', 'superfund-right-to-sue_n'})"
0.367816091954023,"frozenset({'aid-to-nicaraguan-contras_y', 'crime_n'})"
0.3471264367816092,"frozenset({'aid-to-nicaraguan-contras_y', 'duty-free-exports_y'})"
0.38620689655172413,"frozenset({'aid-to-nicaraguan-contras_y', 'export-administration-act-south-africa_y'})"
0.30114942528735633,"frozenset({'mx-missile_n', 'synfuels-corporation-cutback_n'})"
0.32413793103448274,"frozenset({'mx-missile_n', 'education-spending_y'})"
0.3586206896551724,"frozenset({'mx-missile_n', 'superfund-right-to-sue_y'})"
0.4045977011494253,"frozenset({'mx-missile_n', 'crime_y'})"
0.3724137931034483,"frozenset({'mx-missile_n', 'duty-free-exports_n'})"
0.3931034482758621,"frozenset({'education-spending_n', 'mx-missile_y'})"
0.3425287356321839,"frozenset({'superfund-right-to-sue_n', 'mx-missile_y'})"
0.31494252873563217,"frozenset({'crime_n', 'mx-missile_y'})"
0.34022988505747126,"frozenset({'export-administration-act-south-africa_y', 'mx-missile_y'})"
0.31264367816091954,"frozenset({'immigration_y', 'synfuels-corporation-cutback_n'})"
0.31494252873563217,"frozenset({'crime_y', 'immigration_y'})"
0.3448275862068966,"frozenset({'export-administration-act-south-africa_y', 'immigration_y'})"
0.31724137931034485,"frozenset({'superfund-right-to-sue_y', 'synfuels-corporation-cutback_n'})"
0.3793103448275862,"frozenset({'crime_y', 'synfuels-corporation-cutback_n'})"
0.3586206896551724,"frozenset({'duty-free-exports_n', 'synfuels-corporation-cutback_n'})"
0.3816091954022989,"frozenset({'export-administration-act-south-africa_y', 'synfuels-corporation-cutback_n'})"
0.37471264367816093,"frozenset({'superfund-right-to-sue_n', 'education-spending_n'})"
0.3471264367816092,"frozenset({'education-spending_n', 'crime_n'})"
0.32413793103448274,"frozenset({'duty-free-exports_y', 'education-spending_n'})"
0.36551724137931035,"frozenset({'export-administration-act-south-africa_y', 'education-spending_n'})"
0.3195402298850575,"frozenset({'education-spending_y', 'superfund-right-to-sue_y'})"
0.3632183908045977,"frozenset({'education-spending_y', 'crime_y'})"
0.3310344827586207,"frozenset({'duty-free-exports_n', 'education-spending_y'})"
0.31264367816091954,"frozenset({'superfund-right-to-sue_n', 'crime_n'})"
0.31724137931034485,"frozenset({'superfund-right-to-sue_n', 'export-administration-act-south-africa_y'})"
0.4068965517241379,"frozenset({'crime_y', 'superfund-right-to-sue_y'})"
0.3793103448275862,"frozenset({'duty-free-exports_n', 'superfund-right-to-sue_y'})"
0.432183908045977,"frozenset({'duty-free-exports_n', 'crime_y'})"
0.34022988505747126,"frozenset({'crime_y', 'export-administration-act-south-africa_y'})"
0.31724137931034485,"frozenset({'duty-free-exports_n', 'export-administration-act-south-africa_y'})"
0.31494252873563217,"frozenset({'physician-fee-freeze_y', 'handicapped-infants_n', 'el-salvador-aid_y'})"
