support,itemsets
0.8146551724137931,frozenset({'export_administration_act_south_africa'})
0.6422413793103449,frozenset({'religious_groups_in_schools'})
0.6422413793103449,frozenset({'crime'})
0.5517241379310345,frozenset({'immigration'})
0.5517241379310345,frozenset({'el_salvador_aid'})
0.5474137931034483,frozenset({'superfund_right_to_sue'})
0.5387931034482759,"frozenset({'crime', 'religious_groups_in_schools'})"
0.5344827586206896,frozenset({'anti_satellite_test_ban'})
0.5301724137931034,frozenset({'adoption_of_the_budget_resolution'})
0.5301724137931034,"frozenset({'anti_satellite_test_ban', 'export_administration_act_south_africa'})"
0.5258620689655172,"frozenset({'adoption_of_the_budget_resolution', 'export_administration_act_south_africa'})"
0.521551724137931,"frozenset({'crime', 'el_salvador_aid'})"
0.5129310344827587,"frozenset({'religious_groups_in_schools', 'el_salvador_aid'})"
0.5129310344827587,frozenset({'aid_to_nicaraguan_contras'})
0.5043103448275862,"frozenset({'aid_to_nicaraguan_contras', 'export_administration_act_south_africa'})"
0.49137931034482757,"frozenset({'religious_groups_in_schools', 'superfund_right_to_sue'})"
0.4870689655172414,frozenset({'mx_missile'})
0.4870689655172414,frozenset({'physician_fee_freeze'})
0.4827586206896552,"frozenset({'crime', 'religious_groups_in_schools', 'el_salvador_aid'})"
0.4827586206896552,"frozenset({'crime', 'superfund_right_to_sue'})"
0.47844827586206895,"frozenset({'mx_missile', 'export_administration_act_south_africa'})"
0.47844827586206895,"frozenset({'crime', 'physician_fee_freeze'})"
0.4698275862068966,"frozenset({'immigration', 'export_administration_act_south_africa'})"
0.4698275862068966,"frozenset({'religious_groups_in_schools', 'export_administration_act_south_africa'})"
0.46551724137931033,"frozenset({'superfund_right_to_sue', 'el_salvador_aid'})"
0.46551724137931033,"frozenset({'physician_fee_freeze', 'el_salvador_aid'})"
0.46551724137931033,frozenset({'education_spending'})
0.46551724137931033,"frozenset({'crime', 'export_administration_act_south_africa'})"
0.46120689655172414,frozenset({'water_project_cost_sharing'})
0.45689655172413796,"frozenset({'crime', 'physician_fee_freeze', 'el_salvador_aid'})"
0.4482758620689655,"frozenset({'crime', 'religious_groups_in_schools', 'superfund_right_to_sue'})"
0.4482758620689655,"frozenset({'crime', 'superfund_right_to_sue', 'el_salvador_aid'})"
0.4482758620689655,"frozenset({'crime', 'education_spending'})"
0.4482758620689655,"frozenset({'aid_to_nicaraguan_contras', 'adoption_of_the_budget_resolution'})"
0.4482758620689655,"frozenset({'aid_to_nicaraguan_contras', 'adoption_of_the_budget_resolution', 'export_administration_act_south_africa'})"
