,"{'anti_satellite_test_ban_y', 'export_administration_act_south_africa_y', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'crime_n'}","{'education_spending_n', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'mx_missile_y', 'crime_n'}","{'export_administration_act_south_africa_y', 'superfund_right_to_sue_n', 'aid_to_nicaraguan_contras_y', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}","{'export_administration_act_south_africa_y', 'superfund_right_to_sue_n', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}","{'superfund_right_to_sue_n', 'education_spending_n', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}","{'superfund_right_to_sue_n', 'aid_to_nicaraguan_contras_y', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}","{'physician_fee_freeze_n', 'crime_n', 'export_administration_act_south_africa_y'}","{'education_spending_n', 'el_salvador_aid_n', 'aid_to_nicaraguan_contras_y', 'physician_fee_freeze_n', 'crime_n'}","{'crime_y', 'religious_groups_in_schools_y', 'superfund_right_to_sue_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}","{'crime_y', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}","{'adoption_of_the_budget_resolution_y', 'crime_n', 'aid_to_nicaraguan_contras_y', 'el_salvador_aid_n'}","{'superfund_right_to_sue_n', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}","{'synfuels_corporation_cutback_n', 'physician_fee_freeze_y', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n'}","{'crime_y', 'education_spending_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}","{'education_spending_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}","{'crime_y', 'education_spending_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}","{'synfuels_corporation_cutback_n', 'education_spending_y', 'mx_missile_n', 'physician_fee_freeze_y'}","{'synfuels_corporation_cutback_n', 'religious_groups_in_schools_y', 'physician_fee_freeze_y'}","{'duty_free_exports_n', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}","{'synfuels_corporation_cutback_n', 'aid_to_nicaraguan_contras_n', 'physician_fee_freeze_y'}"
"{'anti_satellite_test_ban_y', 'export_administration_act_south_africa_y', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'crime_n'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'education_spending_n', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'mx_missile_y', 'crime_n'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'export_administration_act_south_africa_y', 'superfund_right_to_sue_n', 'aid_to_nicaraguan_contras_y', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'export_administration_act_south_africa_y', 'superfund_right_to_sue_n', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'superfund_right_to_sue_n', 'education_spending_n', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'superfund_right_to_sue_n', 'aid_to_nicaraguan_contras_y', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'physician_fee_freeze_n', 'crime_n', 'export_administration_act_south_africa_y'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'education_spending_n', 'el_salvador_aid_n', 'aid_to_nicaraguan_contras_y', 'physician_fee_freeze_n', 'crime_n'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'crime_y', 'religious_groups_in_schools_y', 'superfund_right_to_sue_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,0,3,0,0,4,4,5,5,6,3,5,5
"{'crime_y', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,3,0,0,0,1,3,4,4,5,4,2,4
"{'adoption_of_the_budget_resolution_y', 'crime_n', 'aid_to_nicaraguan_contras_y', 'el_salvador_aid_n'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'superfund_right_to_sue_n', 'el_salvador_aid_n', 'physician_fee_freeze_n', 'mx_missile_y', 'adoption_of_the_budget_resolution_y'}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"{'synfuels_corporation_cutback_n', 'physician_fee_freeze_y', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n'}",0,0,0,0,0,0,0,0,4,1,0,0,0,4,3,5,4,3,1,3
"{'crime_y', 'education_spending_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,4,3,0,0,4,0,1,1,2,5,5,5
"{'education_spending_y', 'el_salvador_aid_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,5,4,0,0,3,1,0,2,1,4,4,4
"{'crime_y', 'education_spending_y', 'synfuels_corporation_cutback_n', 'mx_missile_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,5,4,0,0,5,1,2,0,1,4,6,4
"{'synfuels_corporation_cutback_n', 'education_spending_y', 'mx_missile_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,6,5,0,0,4,2,1,1,0,3,5,3
"{'synfuels_corporation_cutback_n', 'religious_groups_in_schools_y', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,3,4,0,0,3,5,4,4,3,0,4,2
"{'duty_free_exports_n', 'el_salvador_aid_y', 'adoption_of_the_budget_resolution_n', 'synfuels_corporation_cutback_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,5,2,0,0,1,5,4,6,5,4,0,4
"{'synfuels_corporation_cutback_n', 'aid_to_nicaraguan_contras_n', 'physician_fee_freeze_y'}",0,0,0,0,0,0,0,0,5,4,0,0,3,5,4,4,3,2,4,0
